"cchs_uid","original_filename","canonical_filename","category","secondary_categories","content_tags","year","temporal_type","doc_type","language","file_extension","version","sequence","file_size","status"
"cchs-2001s-m-qu-e-doc-01","CCHS 1.1 household questionnaire_e.doc","cchs_2001s_qu_m_en_1_v1.doc","questionnaire","","","2001","single","master","EN","doc","v1",1,44032,"extracted"
"cchs-2001s-m-qu-e-pdf-01","CCHS 1.1 household questionnaire_e.pdf","cchs_2001s_qu_m_en_1_v1.pdf","questionnaire","","","2001","single","master","EN","pdf","v1",1,19472,"extracted"
"cchs-2001s-m-dd-e-doc-01","CCHS_2000_01_Revised_DV_Doc_Income_variables.doc","cchs_2001s_ot_m_en_1_v1.doc","data-dictionary","derived-variables","income-variables","2001","single","master","EN","doc","v1",1,958976,"extracted"
"cchs-2001s-m-dd-e-pdf-01","CCHS_2000_01_Revised_DV_Doc_Income_variables.pdf","cchs_2001s_ot_m_en_1_v1.pdf","data-dictionary","derived-variables","income-variables","2001","single","master","EN","pdf","v1",1,194588,"extracted"
"cchs-2001s-m-dd-e-doc-02","CCHS_New_income_variables.doc","cchs_2001s_ot_m_en_2_v1.doc","data-dictionary","derived-variables","income-variables","2001","single","master","EN","doc","v1",2,2673664,"extracted"
"cchs-2001s-m-dd-e-pdf-02","CCHS_New_income_variables.pdf","cchs_2001s_ot_m_en_2_v1.pdf","data-dictionary","derived-variables","income-variables","2001","single","master","EN","pdf","v1",2,41868,"extracted"
"cchs-2001s-m-qu-e-pdf-02","cchs_questenglish.pdf","cchs_2001s_qu_m_en_2_v1.pdf","questionnaire","","","2001","single","master","EN","pdf","v1",2,372116,"extracted"
"cchs-2001s-m-dd-e-pdf-03","English Data Dictionary (Freqs).pdf","cchs_2001s_dd_m_en_3_v1.pdf","data-dictionary","","frequency-tables","2001","single","master","EN","pdf","v1",3,1403999,"extracted"
"cchs-2001s-m-ug-e-pdf-01","User_Guide_Eng.pdf","cchs_2001s_ug_m_en_1_v1.pdf","user-guide","","","2001","single","master","EN","pdf","v1",1,576234,"extracted"
"cchs-2001s-m-ug-e-pdf-02","User_Guide_Fr.pdf","cchs_2001s_ug_m_en_2_v1.pdf","user-guide","","","2001","single","master","EN","pdf","v1",2,680672,"extracted"
"cchs-2003s-m-dd-e-doc-01","CCHS_2003_Revised_DV_Doc_Income_variables.doc","cchs_2003s_ot_m_en_1_v1.doc","data-dictionary","derived-variables","income-variables","2003","single","master","EN","doc","v1",1,960000,"extracted"
"cchs-2003s-m-dd-e-pdf-01","CCHS_2003_Revised_DV_Doc_Income_variables.pdf","cchs_2003s_ot_m_en_1_v1.pdf","data-dictionary","derived-variables","income-variables","2003","single","master","EN","pdf","v1",1,193435,"extracted"
"cchs-2003s-m-dd-e-doc-02","CCHS_New_income_variables.doc","cchs_2003s_ot_m_en_2_v1.doc","data-dictionary","derived-variables","income-variables","2003","single","master","EN","doc","v1",2,2673664,"extracted"
"cchs-2003s-m-dd-e-pdf-02","CCHS_New_income_variables.pdf","cchs_2003s_ot_m_en_2_v1.pdf","data-dictionary","derived-variables","income-variables","2003","single","master","EN","pdf","v1",2,41868,"extracted"
"cchs-2003s-m-dd-e-pdf-03","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_3_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",3,2365514,"extracted"
"cchs-2003s-m-qu-e-doc-01","English Questionnaire.doc","cchs_2003s_qu_m_en_1_v1.doc","questionnaire","","","2003","single","master","EN","doc","v1",1,1816064,"extracted"
"cchs-2003s-m-qu-e-pdf-01","English Questionnaire.pdf","cchs_2003s_qu_m_en_1_v1.pdf","questionnaire","","","2003","single","master","EN","pdf","v1",1,1453431,"extracted"
"cchs-2003s-m-qu-e-pdf-02","English_Household questionnaire.pdf","cchs_2003s_qu_m_en_2_v1.pdf","questionnaire","","","2003","single","master","EN","pdf","v1",2,19541,"extracted"
"cchs-2003s-m-dd-e-pdf-04","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_4_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",4,166871,"extracted"
"cchs-2003s-m-qu-e-doc-02","CCHS 2.1 household questionnaire_e.doc","cchs_2003s_qu_m_en_2_v1.doc","questionnaire","","","2003","single","master","EN","doc","v1",2,42496,"extracted"
"cchs-2003s-m-qu-e-pdf-03","CCHS 2.1 household questionnaire_e.pdf","cchs_2003s_qu_m_en_3_v1.pdf","questionnaire","","","2003","single","master","EN","pdf","v1",3,19541,"extracted"
"cchs-2003s-m-dd-e-pdf-05","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_5_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",5,2565758,"extracted"
"cchs-2003s-m-qu-e-doc-03","English Questionnaire.doc","cchs_2003s_qu_m_en_3_v1.doc","questionnaire","","","2003","single","master","EN","doc","v1",3,1816064,"extracted"
"cchs-2003s-m-qu-e-pdf-04","English Questionnaire.pdf","cchs_2003s_qu_m_en_4_v1.pdf","questionnaire","","","2003","single","master","EN","pdf","v1",4,1453431,"extracted"
"cchs-2003s-m-qu-e-pdf-05","English_Household questionnaire.pdf","cchs_2003s_qu_m_en_5_v1.pdf","questionnaire","","","2003","single","master","EN","pdf","v1",5,19541,"extracted"
"cchs-2003s-m-dd-e-pdf-06","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_6_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",6,1237708,"extracted"
"cchs-2003s-m-dd-e-pdf-07","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_7_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",7,1155663,"extracted"
"cchs-2003s-m-dd-e-pdf-08","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_8_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",8,1316849,"extracted"
"cchs-2003s-m-ug-e-pdf-01","User_guide_Eng.pdf","cchs_2003s_ug_m_en_1_v1.pdf","user-guide","","","2003","single","master","EN","pdf","v1",1,642148,"extracted"
"cchs-2003s-m-ug-e-pdf-02","User_Guide_Fra.pdf","cchs_2003s_ug_m_en_2_v1.pdf","user-guide","","","2003","single","master","EN","pdf","v1",2,672367,"extracted"
"cchs-2005s-m-ug-e-doc-01","CCHS 3.1 UserGuide_e.DOC","cchs_2005s_ug_m_en_1_v1.doc","user-guide","","","2005","single","master","EN","doc","v1",1,1631232,"extracted"
"cchs-2005s-m-ug-e-pdf-01","CCHS 3.1 UserGuide_e.pdf","cchs_2005s_ug_m_en_1_v1.pdf","user-guide","","","2005","single","master","EN","pdf","v1",1,2053483,"extracted"
"cchs-2005s-m-qu-e-doc-01","CCHS Cycle 3.1 English Questionnaire_PAS.doc","cchs_2005s_qu_m_en_1_v1.doc","questionnaire","","","2005","single","master","EN","doc","v1",1,37376,"extracted"
"cchs-2005s-m-qu-e-doc-02","CCHS Cycle 3.1 English Questionnaire.doc","cchs_2005s_qu_m_en_2_v1.doc","questionnaire","","","2005","single","master","EN","doc","v1",2,1809408,"extracted"
"cchs-2005s-m-qu-e-pdf-01","CCHS Cycle 3.1 English Questionnaire.pdf","cchs_2005s_qu_m_en_1_v1.pdf","questionnaire","","","2005","single","master","EN","pdf","v1",1,695683,"extracted"
