"year","canonical","cchs_uid","variables","checksum","status"
"2015-2016","cchs_2015d_dd_p_en_1_v1","cchs-2015d-p-dd-en-pdf-01",639,"92f7cd0df65f476107bc938ef5d39f53de79ee1a22b010463e6dc56dd1a279a1","success"
"2017-2018","cchs_2017d_dd_p_en_1_v1","cchs-2017d-p-dd-en-pdf-01",520,"5013d607bcfb505aa953234ba78c96927269a5d5ac49fe7a5191189a6969c58c","success"
"2014","cchs_2014s_dd_p_en_1_v1","cchs-2014s-p-dd-en-pdf-01",1129,"4035dc015395bb2a15534baa1671118ba5e377ad00ad5cdd5ab05a3414747d75","success"
"2012","cchs_2012s_dd_p_en_1_v1","cchs-2012s-p-dd-en-pdf-01",1381,"7f663df9c7d13cd2f91235121e2338e69d4ff35fd7e1b2ec62271b991ad1a6e7","success"
"2010","cchs_2010s_dd_p_en_1_v1","cchs-2010s-p-dd-en-pdf-01",1325,"7e7a57423ea5e91fdd00d4869a13d00e74f64432c5bd242caee4a4e361c4b5b8","success"
"2009-2010","cchs_2009d_dd_p_en_1_v1","cchs-2009d-p-dd-en-pdf-01",1254,"3b0b08ea08b018d6ae3f7cf4f65b3e1ca2b982eaf8371a4abde8a6c7c11a2ebe","success"
"2007-2008","cchs_2007d_dd_p_en_1_v1","cchs-2007d-p-dd-en-pdf-01",1820,"ae6bf552d73f906544a46090c1ac9edfc70ac84d8cf1ddf0c8cd59cc306305f5","success"
"2005","cchs_2005s_dd_p_en_1_v1","cchs-2005s-p-dd-en-pdf-01",1258,"1c38f118033a0f19274f0f2e01ed463fd1426047d2683ba8bf02eb8cafd68610","success"
"2003","cchs_2003s_dd_p_en_1_v1","cchs-2003s-p-dd-en-pdf-01",1068,"463b42e29d34dee93942a2ccb412866200d5ee4d99d34d7b94138f685e76be85","success"
"2001","cchs_2001s_dd_p_en_1_v1","cchs-2001s-p-dd-en-pdf-01",614,"212581177024cc045d1e8851145bb8d7da08b594ed2d3a3df26e887e5219ed2c","success"
"2011-2012","cchs_2011d_dd_p_en_1_v1","cchs-2011d-p-dd-en-pdf-01",1207,"98dd6d54e050e7b6766b6b827bbc5e6739114da74e3b327e2c4d39c15d869f06","success"
"2013-2014","cchs_2013d_dd_p_en_1_v1","cchs-2013d-p-dd-en-pdf-01",1003,"b5f620875c5753a952dd0915f404f2024ddea02a7eb2ab902797bb7e3a76e1ba","success"
"2010","cchs_2010s_dd_s_en_1_v1","cchs-2010s-s-dd-en-pdf-01",1955,"12f44fb4510a2c67a7aab3d89b827a0ce3df962fb3c2d263f94bd6a3da6e6461","success"
"2012","cchs_2012s_dd_s_en_1_v1","cchs-2012s-s-dd-en-pdf-01",1815,"63518b0d180441aab520fc557c1bb7d26cc0823398d58e898d0aeb9568521506","success"
"2000-2001","cchs_2001d_dd_s_en_1_v1","cchs-2001d-s-dd-en-pdf-01",1092,"e412ba2618c6b1da5438f8ed95d0de19f6b28bfc3795f1ab647ccae0b12c4b7c","success"
"2009","cchs_2009s_dd_s_en_1_v1","cchs-2009s-s-dd-en-pdf-01",1845,"a2b826536d7aa8f940165220f190dff5b8c331d8e5231e1b64acf875558b81bf","success"
