ices_id,dataset_id,year_start,year_end,geo,temporal_type,content,release,cycle,subfile,n_variables,n_primary_sources,n_secondary_sources
,cchs-2001d-m-can,2000,2001,can,dual,gen,master,1.1,,614,0,0
CCHS2000_01|CCHS2001_PUBLIC_11,cchs-2001d-p-can,2000,2001,can,dual,gen,pumf,1.1,,614,1,1
CCHS2001_INC_VARS,cchs-2001s-inc-can-vars,2001,2001,can,single,gen,income,,vars,8,0,1
CCHS2001_ONT_LINK_11,cchs-2001d-l-ont,2001,2001,ont,dual,gen,linked,1.1,,1089,0,1
CCHS2001_ONT_LINK_BOOT_11,cchs-2001d-l-ont-boot,2001,2001,ont,dual,gen,linked,1.1,boot,502,0,1
CCHS2001_ONT_LINK_11_PB,cchs-2001d-l-ont-pb,2001,2001,ont,dual,gen,linked,1.1,pb,1089,0,1
CCHS2001_ONT_SHARE_11,cchs-2001d-s-ont,2001,2001,ont,dual,gen,share,1.1,,995,0,1
CCHS2001_ONT_SHARE_BOOT_11,cchs-2001d-s-ont-boot,2001,2001,ont,dual,gen,share,1.1,boot,502,0,1
CCHS2002_ONT_LINK_12,cchs-2002d-l-ont-mh,2002,2002,ont,dual,mh,linked,1.2,,2093,0,1
CCHS2002_ONT_LINK_BOOT_12,cchs-2002d-l-ont-mh-boot,2002,2002,ont,dual,mh,linked,1.2,boot,502,0,1
CCHS2002_ONT_LINK_12_PB,cchs-2002d-l-ont-mh-pb,2002,2002,ont,dual,mh,linked,1.2,pb,2095,0,1
CCHS2002_ONT_SHARE_12,cchs-2002d-s-ont-mh,2002,2002,ont,dual,mh,share,1.2,,2087,0,1
CCHS2002_ONT_SHARE_BOOT_12,cchs-2002d-s-ont-mh-boot,2002,2002,ont,dual,mh,share,1.2,boot,502,0,1
CCHS2002_ONT_SHARE_12_LEVEL1,cchs-2002d-s-ont-mh-level1,2002,2002,ont,dual,mh,share,1.2,level1,5,0,1
CCHS2003_INC_VARS,cchs-2003s-inc-can-vars,2003,2003,can,single,gen,income,,vars,8,0,1
CCHS2003_ONT_LINK_21,cchs-2003d-l-ont,2003,2003,ont,dual,gen,linked,2.1,,1793,0,1
CCHS2003_ONT_LINK_BOOT_21,cchs-2003d-l-ont-boot,2003,2003,ont,dual,gen,linked,2.1,boot,502,0,1
CCHS2003_ONT_LINK_21_PB,cchs-2003d-l-ont-pb,2003,2003,ont,dual,gen,linked,2.1,pb,1795,0,1
,cchs-2003d-m-can,2003,2003,can,dual,gen,master,2.1,,1068,0,0
,cchs-2003d-p-can,2003,2003,can,dual,gen,pumf,2.1,,1068,1,0
CCHS2003_ONT_SHARE_21,cchs-2003d-s-ont,2003,2003,ont,dual,gen,share,2.1,,1399,0,1
CCHS2003_ONT_SHARE_BOOT_21,cchs-2003d-s-ont-boot,2003,2003,ont,dual,gen,share,2.1,boot,502,0,1
CCHS2003_ONT_SHARE_21_LEVEL1,cchs-2003d-s-ont-level1,2003,2003,ont,dual,gen,share,2.1,level1,5,0,1
CCHS2004_ONT_LINK_22,cchs-2004d-l-ont-nut,2004,2004,ont,dual,nut,linked,2.2,,542,0,1
CCHS2004_ONT_LINK_22_BOOT,cchs-2004d-l-ont-nut-boot,2004,2004,ont,dual,nut,linked,2.2,boot,505,0,1
CCHS2004_CAN_SHARE_22,cchs-2004d-s-can-nut,2004,2004,can,dual,nut,share,2.2,,538,0,1
CCHS2004_CAN_SHARE_22_BOOT_HH,cchs-2004d-s-can-nut-boot.hh,2004,2004,can,dual,nut,share,2.2,boot.hh,503,0,1
CCHS2004_CAN_SHARE_22_BOOT_HS,cchs-2004d-s-can-nut-boot.hs,2004,2004,can,dual,nut,share,2.2,boot.hs,503,0,1
CCHS2004_CAN_SHARE_22_BOOT_HW,cchs-2004d-s-can-nut-boot.hw,2004,2004,can,dual,nut,share,2.2,boot.hw,503,0,1
CCHS2004_CAN_SHARE_22_CFG,cchs-2004d-s-can-nut-cfg,2004,2004,can,dual,nut,share,2.2,cfg,5,0,1
CCHS2004_CAN_SHARE_22_FDC,cchs-2004d-s-can-nut-fdc,2004,2004,can,dual,nut,share,2.2,fdc,43,0,1
CCHS2004_CAN_SHARE_22_FID,cchs-2004d-s-can-nut-fid,2004,2004,can,dual,nut,share,2.2,fid,58,0,1
CCHS2004_CAN_SHARE_22_FRL,cchs-2004d-s-can-nut-frl,2004,2004,can,dual,nut,share,2.2,frl,58,0,1
CCHS2004_CAN_SHARE_22_HHWT,cchs-2004d-s-can-nut-hhwt,2004,2004,can,dual,nut,share,2.2,hhwt,3,0,1
CCHS2004_CAN_SHARE_22_R24,cchs-2004d-s-can-nut-r24,2004,2004,can,dual,nut,share,2.2,r24,61,0,1
CCHS2004_CAN_SHARE_22_SIDE,cchs-2004d-s-can-nut-side,2004,2004,can,dual,nut,share,2.2,side,542,0,1
CCHS2004_CAN_SHARE_22_VDC,cchs-2004d-s-can-nut-vdc,2004,2004,can,dual,nut,share,2.2,vdc,32,0,1
CCHS2004_CAN_SHARE_22_VMD,cchs-2004d-s-can-nut-vmd,2004,2004,can,dual,nut,share,2.2,vmd,36,0,1
