"dataset_id","variable_count","year_label","year_start","year_end","region","dataset_type","cycle_label","is_supplement","supplement_type","is_bootstrap"
"CCHS2000_01",614,"2000",2000,2000,"National","Other","Unknown",FALSE,"-",FALSE
"CCHS2001_INC_VARS",8,"2001",2001,2001,"National","Income","Unknown",FALSE,"-",FALSE
"CCHS2001_ONT_LINK_11",1089,"2001",2001,2001,"Ontario","Linked","Cycle 1.1 (2001)",FALSE,"-",FALSE
"CCHS2001_ONT_LINK_11_PB",1089,"2001",2001,2001,"Ontario","Linked","Cycle 1.1 (2001)",TRUE,"Postal code",FALSE
"CCHS2001_ONT_LINK_BOOT_11",502,"2001",2001,2001,"Ontario","Linked","Cycle 1.1 (2001)",FALSE,"-",TRUE
"CCHS2001_ONT_SHARE_11",995,"2001",2001,2001,"Ontario","Share","Cycle 1.1 (2001)",FALSE,"-",FALSE
"CCHS2001_ONT_SHARE_BOOT_11",502,"2001",2001,2001,"Ontario","Share","Cycle 1.1 (2001)",FALSE,"-",TRUE
"CCHS2001_PUBLIC_11",614,"2001",2001,2001,"National","Public","Cycle 1.1 (2001)",FALSE,"-",FALSE
"CCHS2002_ONT_LINK_12",2093,"2002",2002,2002,"Ontario","Linked","Cycle 1.2 (2002)",FALSE,"-",FALSE
"CCHS2002_ONT_LINK_12_PB",2095,"2002",2002,2002,"Ontario","Linked","Cycle 1.2 (2002)",TRUE,"Postal code",FALSE
"CCHS2002_ONT_LINK_BOOT_12",502,"2002",2002,2002,"Ontario","Linked","Cycle 1.2 (2002)",FALSE,"-",TRUE
"CCHS2002_ONT_SHARE_12",2087,"2002",2002,2002,"Ontario","Share","Cycle 1.2 (2002)",FALSE,"-",FALSE
"CCHS2002_ONT_SHARE_12_LEVEL1",5,"2002",2002,2002,"Ontario","Share","Cycle 1.2 (2002)",TRUE,"Level 1 geography",FALSE
"CCHS2002_ONT_SHARE_BOOT_12",502,"2002",2002,2002,"Ontario","Share","Cycle 1.2 (2002)",FALSE,"-",TRUE
"CCHS2003_INC_VARS",8,"2003",2003,2003,"National","Income","Unknown",FALSE,"-",FALSE
"CCHS2003_ONT_LINK_21",1793,"2003",2003,2003,"Ontario","Linked","Cycle 2.1 (2003)",FALSE,"-",FALSE
"CCHS2003_ONT_LINK_21_PB",1795,"2003",2003,2003,"Ontario","Linked","Cycle 2.1 (2003)",TRUE,"Postal code",FALSE
"CCHS2003_ONT_LINK_BOOT_21",502,"2003",2003,2003,"Ontario","Linked","Cycle 2.1 (2003)",FALSE,"-",TRUE
"CCHS2003_ONT_SHARE_21",1399,"2003",2003,2003,"Ontario","Share","Cycle 2.1 (2003)",FALSE,"-",FALSE
"CCHS2003_ONT_SHARE_21_LEVEL1",5,"2003",2003,2003,"Ontario","Share","Cycle 2.1 (2003)",TRUE,"Level 1 geography",FALSE
"CCHS2003_ONT_SHARE_BOOT_21",502,"2003",2003,2003,"Ontario","Share","Cycle 2.1 (2003)",FALSE,"-",TRUE
"CCHS2004_CAN_SHARE_22",538,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",FALSE,"-",FALSE
"CCHS2004_CAN_SHARE_22_BOOT_HH",503,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"Household weights",TRUE
"CCHS2004_CAN_SHARE_22_BOOT_HS",503,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",FALSE,"-",TRUE
"CCHS2004_CAN_SHARE_22_BOOT_HW",503,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",FALSE,"-",TRUE
"CCHS2004_CAN_SHARE_22_CFG",5,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"Configuration",FALSE
"CCHS2004_CAN_SHARE_22_FDC",43,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"Food description codes",FALSE
"CCHS2004_CAN_SHARE_22_FID",58,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"Food identification",FALSE
"CCHS2004_CAN_SHARE_22_FRL",58,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"Food recipe links",FALSE
"CCHS2004_CAN_SHARE_22_HHWT",3,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"Household weights",FALSE
"CCHS2004_CAN_SHARE_22_R24",61,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"24-hour recall",FALSE
"CCHS2004_CAN_SHARE_22_SIDE",542,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"Side dish",FALSE
"CCHS2004_CAN_SHARE_22_VDC",32,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"Variable description codes",FALSE
"CCHS2004_CAN_SHARE_22_VMD",36,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"Variable metadata",FALSE
"CCHS2004_CAN_SHARE_22_VSD",26,"2004",2004,2004,"Canada","Share","Cycle 2.2 (2004)",TRUE,"Variable summary data",FALSE
"CCHS2004_ONT_LINK_22",542,"2004",2004,2004,"Ontario","Linked","Cycle 2.2 (2004)",FALSE,"-",FALSE
"CCHS2004_ONT_LINK_22_BOOT",505,"2004",2004,2004,"Ontario","Linked","Cycle 2.2 (2004)",FALSE,"-",TRUE
"CCHS2004_ONT_SHARE_22",538,"2004",2004,2004,"Ontario","Share","Cycle 2.2 (2004)",FALSE,"-",FALSE
"CCHS2004_ONT_SHARE_22_BOOT_HH",503,"2004",2004,2004,"Ontario","Share","Cycle 2.2 (2004)",TRUE,"Household weights",TRUE
"CCHS2004_ONT_SHARE_22_BOOT_HS",503,"2004",2004,2004,"Ontario","Share","Cycle 2.2 (2004)",FALSE,"-",TRUE
"CCHS2004_ONT_SHARE_22_BOOT_HW",503,"2004",2004,2004,"Ontario","Share","Cycle 2.2 (2004)",FALSE,"-",TRUE
"CCHS2004_ONT_SHARE_22_HHWT",3,"2004",2004,2004,"Ontario","Share","Cycle 2.2 (2004)",TRUE,"Household weights",FALSE
"CCHS2005_INC_IMP",9,"2005",2005,2005,"National","Income","Unknown",FALSE,"-",FALSE
"CCHS2005_INC_IMP_LINK",10,"2005",2005,2005,"National","Linked","Unknown",FALSE,"-",FALSE
"CCHS2005_ONT_LINK_31",1084,"2005",2005,2005,"Ontario","Linked","Cycle 3.1 (2005)",FALSE,"-",FALSE
"CCHS2005_ONT_LINK_31_PB",1086,"2005",2005,2005,"Ontario","Linked","Cycle 3.1 (2005)",TRUE,"Postal code",FALSE
"CCHS2005_ONT_LINK_BOOT_31",503,"2005",2005,2005,"Ontario","Linked","Cycle 3.1 (2005)",FALSE,"-",TRUE
"CCHS2005_ONT_SHARE_31",1081,"2005",2005,2005,"Ontario","Share","Cycle 3.1 (2005)",FALSE,"-",FALSE
"CCHS2005_ONT_SHARE_31_LEVEL1",5,"2005",2005,2005,"Ontario","Share","Cycle 3.1 (2005)",TRUE,"Level 1 geography",FALSE
"CCHS2005_ONT_SHARE_31_SUB1",941,"2005",2005,2005,"Ontario","Share","Cycle 3.1 (2005)",TRUE,"Sub-sample 1",FALSE
"CCHS2005_ONT_SHARE_31_SUB1_LVL1",5,"2005",2005,2005,"Ontario","Share","Cycle 3.1 (2005)",TRUE,"Sub-sample 1; Level 1 geography",FALSE
"CCHS2005_ONT_SHARE_31_SUB3",1137,"2005",2005,2005,"Ontario","Share","Cycle 3.1 (2005)",TRUE,"Sub-sample 3",FALSE
"CCHS2005_ONT_SHARE_31_SUB3_LVL1",5,"2005",2005,2005,"Ontario","Share","Cycle 3.1 (2005)",TRUE,"Sub-sample 3; Level 1 geography",FALSE
"CCHS2005_ONT_SHARE_BOOT_31",502,"2005",2005,2005,"Ontario","Share","Cycle 3.1 (2005)",FALSE,"-",TRUE
"CCHS2005_ONT_SHARE_BOOT_31_SUB1",502,"2005",2005,2005,"Ontario","Share","Cycle 3.1 (2005)",TRUE,"Sub-sample 1",TRUE
"CCHS2005_ONT_SHARE_BOOT_31_SUB3",502,"2005",2005,2005,"Ontario","Share","Cycle 3.1 (2005)",TRUE,"Sub-sample 3",TRUE
"CCHS200708_INC_IMP",9,"2007-2008",2007,2008,"National","Income","Annual",FALSE,"-",FALSE
"CCHS200708_INC_IMP_LINK",10,"2007-2008",2007,2008,"National","Linked","Annual",FALSE,"-",FALSE
"CCHS200708_ONT_LINK",977,"2007-2008",2007,2008,"Ontario","Linked","Annual",FALSE,"-",FALSE
"CCHS200708_ONT_LINK_BOOT",503,"2007-2008",2007,2008,"Ontario","Linked","Annual",FALSE,"-",TRUE
"CCHS200708_ONT_LINK_BOOT_LHIN",503,"2007-2008",2007,2008,"Ontario","Linked","Annual",TRUE,"LHIN geography",TRUE
"CCHS200708_ONT_LINK_LHIN",3,"2007-2008",2007,2008,"Ontario","Linked","Annual",TRUE,"LHIN geography",FALSE
"CCHS200708_ONT_LINK_PB",979,"2007-2008",2007,2008,"Ontario","Linked","Annual",TRUE,"Postal code",FALSE
"CCHS200708_ONT_SHARE",970,"2007-2008",2007,2008,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS200708_ONT_SHARE_BOOT",502,"2007-2008",2007,2008,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS200708_ONT_SHARE_BOOT_HH",502,"2007-2008",2007,2008,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS200708_ONT_SHARE_BOOT_LHIN",502,"2007-2008",2007,2008,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS200708_ONT_SHARE_HH",2,"2007-2008",2007,2008,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS200708_ONT_SHARE_LEVEL1",5,"2007-2008",2007,2008,"Ontario","Share","Annual",TRUE,"Level 1 geography",FALSE
"CCHS200708_ONT_SHARE_LHIN",2,"2007-2008",2007,2008,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS2007_INC_IMP",9,"2007",2007,2007,"National","Income","Annual",FALSE,"-",FALSE
"CCHS2007_ONT_SHARE",1286,"2007",2007,2007,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2007_ONT_SHARE_BOOT",502,"2007",2007,2007,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2007_ONT_SHARE_BOOT_HH",502,"2007",2007,2007,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2007_ONT_SHARE_BOOT_LHIN",502,"2007",2007,2007,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS2007_ONT_SHARE_LEVEL1",5,"2007",2007,2007,"Ontario","Share","Annual",TRUE,"Level 1 geography",FALSE
"CCHS200809_HA",1016,"2008-2009",2008,2009,"Health Authority","Other","Annual",FALSE,"-",FALSE
"CCHS200809_HA_BOOT",503,"2008-2009",2008,2009,"Health Authority","Other","Annual",FALSE,"-",TRUE
"CCHS200809_HA_COG",1117,"2008-2009",2008,2009,"Health Authority","Other","Annual",TRUE,"Cognition module",FALSE
"CCHS200809_HA_COG_BOOT",503,"2008-2009",2008,2009,"Health Authority","Other","Annual",TRUE,"Cognition module",TRUE
"CCHS200809_HA_COG_LEVEL1",1120,"2008-2009",2008,2009,"Health Authority","Other","Annual",TRUE,"Level 1 geography; Cognition module",FALSE
"CCHS200809_HA_LEVEL1",1019,"2008-2009",2008,2009,"Health Authority","Other","Annual",TRUE,"Level 1 geography",FALSE
"CCHS200809_HA_LINK",5,"2008-2009",2008,2009,"Health Authority","Linked","Annual",FALSE,"-",FALSE
"CCHS2008_INC_IMP",9,"2008",2008,2008,"National","Income","Annual",FALSE,"-",FALSE
"CCHS2008_ONT_SHARE",1062,"2008",2008,2008,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2008_ONT_SHARE_BOOT",502,"2008",2008,2008,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2008_ONT_SHARE_BOOT_HH",502,"2008",2008,2008,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2008_ONT_SHARE_BOOT_LHIN",502,"2008",2008,2008,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS2008_ONT_SHARE_HH",2,"2008",2008,2008,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
