format_name,codes
$CCHS2012_ONT_MH_LINK_SDCC61FM,21010000=ENGLISH; 21020000=FRENCH; 22010000=ABORIGINAL LANG; 22010100=ALGONQUIAN LANG; 22010101=ALGONQUIN; 22010102=ATIKAMEKW; 22010103=BLACKFOOT; 22010104=CREE; 22010105=MALECITE; 22010106=MI'KMAQ
$CCHS2014_ONT_SHARE_LBSDINFM,1=AGRI./FORES./HU.; 10=FINANCE /INSUR.; 11=REAL ST./RENTAL; 12=PROF. SC. &amp; TECH; 13=MGMT.COMP.&amp;ENTR.; 14=ADM./SUP./WASTE; 15=EDUC. SERVICES; 16=HEALTH CARE/S.S.; 17=ARTS/ENTER./RECR; 18=ACC./FOOD SERV.
$CCHS2014_ONT_SHARE_LBSDOCFM,"1=MANAGEMENT OCCU.; 10=OCC. MAN. UTI.; 2=BUSINESS, FIN.; 3=NAT./APPL. SC.; 4=HEALTH OCCUP.; 5=OCC. IN SOC. SC.; 6=OCC. IN CULT.; 7=SALES AND SERVI.; 8=TRADES/TRANS/EQ; 9=OCC. PRIM. IND."
$CCHS2014_ONT_SHARE_LBSS_CFM,99996=NOT APPLICABLE; 99997=DON'T KNOW; 99998=REFUSAL; 99999=NOT STATED; 999996=NOT APPLICABLE; 999997=DON'T KNOW; 999998=REFUSAL; 999999=NOT STATED
$CCHS2021_ONT_SHARE_D00117F,21010000=English; 21020000=French; 22010000=Aboriginal languages; 22010100=Algonquian languages; 22010101=Algonquin; 22010102=Atikamekw; 22010103=Blackfoot; 22010104=Cree; 22010105=Malecite; 22010106=Mi'kmaq
$CCHS2021_ONT_SHARE_D00228F,10000=America; 11000=North America; 11124=Canada; 11304=Greenland; 11666=Saint Pierre and Miquelon; 11840=United States; 12000=Central America; 12084=Belize; 12188=Costa Rica; 12222=El Salvador
$CCHS2021_ONT_SHARE_D00256F,0=Area frame; 1=CCTB frame; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated
$CCHS2021_ONT_SHARE_D00295F,201501=January - March; 201504=April - June; 201507=July - August; 201510=October - November; 999996=Valid skip; 999997=Don't know; 999998=Refusal; 999999=Not stated
$CCHS_DRUGC1FM,9999995=NOT AVAILABLE; 9999996=NOT APPLICABLE; 9999997=DON'T KNOW; 9999998=REFUSAL; 9999999=NOT STATED
$CCHS_DRUGC2FM,99999999995=NOT AVAILABLE; 99999999996=NOT APPLICABLE; 99999999997=DON'T KNOW; 99999999998=REFUSAL; 99999999999=NOT STATED
$CCHS_DRUGCFM,9999966=NOT APPLICABLE; 9999977=DON'T KNOW; 9999988=REFUSAL; 9999996=NOT APPLICABLE; 9999997=DON'T KNOW; 9999998=REFUSAL; 9999999=NOT STATED
$CCHS_GEO3DPMF,10911=EASTERN REGIONAL; 10912=CENTRAL REGIONAL; 10913=WEST/LABR/GREN; 11901=PRINCE E. ISLAND; 11903=QUEENS; 12901=ZONE 1 (DHA 1&amp;2); 12902=ZONE 2 (DHA 3); 12903=ZONE 3 (DHA 4&amp;5); 12904=ZONE 4 (DHA 6&amp;7); 12905=ZONE 5 (DHA 8)
$CCHS_LBSDINFM,1=AGRI./FORES./HU.; 10=FINANCE /INSUR.; 11=REAL ST./RENTAL; 12=PROF. SC. &amp; TECH; 13=MGMT.COMP.&amp;ENTR.; 14=ADM./SUP./WASTE; 15=EDUC. SERVICES; 16=HEALTH CARE/S.S.; 17=ARTS/ENTER./RECR; 18=ACC./FOOD SERV.
$CCHS_LBSDOCFM,"1=MANAGEMENT OCCU.; 10=OCC. MAN. UTI.; 2=BUSINESS, FIN.; 3=NAT./APPL. SC.; 4=HEALTH OCCUP.; 5=OCC. IN SOC. SC.; 6=OCC. IN CULT.; 7=SALES AND SERVI.; 8=TRADES/TRANS/EQ; 9=OCC. PRIM. IND."
$CCHS_SAMDCP,200401=JAN. TO MAR. 04; 200404=APRIL TO MAY 04; 200406=JUNE TO AUG. 04; 200407=RESENDS; 200409=SEPT. TO DEC. 04; 999996=NOT APPLICABLE; 999997=DON'T KNOW; 999998=REFUSAL; 999999=NOT STATED
$CCHS_SAM_CP,200009=SEPTEMBER 2000; 200010=OCTOBER 2000; 200011=NOVEMBER 2000; 200012=DECEMBER 2000; 200101=JANUARY 2001; 200102=FEBRUARY 2001; 200103=MARCH 2001; 200104=APRIL 2001; 200105=MAY 2001; 200106=JUNE 2001
$CCHS_SAM_CPFMT,200812=DECEMBER; 200902=FEBRUARY; 200904=APRIL; 200906=JUNE; 200908=AUGUST; 200910=OCTOBER; 200991=AUGUST RESENT; 200992=OCTOBER RESENT; 201101=JANUARY; 201103=MARCH
$CCHS_YESNO_C,1=YES; 2=NO; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
$VALIKN,B=Blank or other health number; D=IKN blanked by DQ team; F=False record linkage; N=Invalid health number; V=IKN based on valid health number
CCHS2012_ONT_MH_LINK_AGE3DFM,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2012_ONT_MH_LINK_AGREEFM,1=STRONGLY AGREE; 2=AGREE; 3=NEITHER NOR; 4=DISAGREE; 5=STRONG DISAGREE; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_ALC6_2F,1=2 = ONCE A MONTH; 3=2 TO 3 TIMES/MO; 4=ONCE/WEEK; 5=2 TO 3 TIMES/WK; 6=4 TO 6 TIMES/WK; 7=EVERY DAY; 96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL
CCHS2012_ONT_MH_LINK_ALCDT2FM,1=REGULAR DRINKER; 2=OCCASIO. DRINKER; 3=NO DRINK LAST12M; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_ALC_3F,1=NEVER; 2=LESS ONCE/MONTH; 3=ONCE/MONTH; 4=2-3 TIMES/MONTH; 5=ONCE/WEEK; 6=MORE ONCE/WEEK; 96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_ALC_NUFM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
