"variable_name","module","label","type","format","n_datasets","year_range","min_year","max_year","regions","has_ontario","has_national","file_types","has_share","has_linked","has_pumf","in_main_files","sample_datasets"
"ACCFOPT","ACCF","Optional module: ACC - (F)","Num8","CCHS_YESNOFM",1,"2007",2007,2007,"Ontario",TRUE,FALSE,"Share",TRUE,FALSE,FALSE,TRUE,"CCHS2007_ONT_SHARE"
"ACCG12N","ACCG","Difficulty - other - (G)","Num8","CCHS_PUMF_YESNOFM",2,"2013-2014",2013,2014,"National",FALSE,TRUE,"PUMF",FALSE,FALSE,TRUE,TRUE,"CCHS201314_CCHS_PUMF; CCHS2014_CCHS_PUMF"
"ACCG22B","ACCG","Diff. getting appt / diagnosis - (G)","Num8","CCHS_PUMF_YESNOFM",2,"2013-2014",2013,2014,"National",FALSE,TRUE,"PUMF",FALSE,FALSE,TRUE,TRUE,"CCHS201314_CCHS_PUMF; CCHS2014_CCHS_PUMF"
"ACCG22D","ACCG","Diff. - wait too long for diag. test / h","Num8","CCHS_PUMF_YESNOFM",2,"2013-2014",2013,2014,"National",FALSE,TRUE,"PUMF",FALSE,FALSE,TRUE,TRUE,"CCHS201314_CCHS_PUMF; CCHS2014_CCHS_PUMF"
"ACCG22O","ACCG","Diff. - other - (G)","Num8","CCHS_PUMF_YESNOFM",2,"2013-2014",2013,2014,"National",FALSE,TRUE,"PUMF",FALSE,FALSE,TRUE,TRUE,"CCHS201314_CCHS_PUMF; CCHS2014_CCHS_PUMF"
"ACCG32F","ACCG","Diff. - not avail. time required/area -","Num8","CCHS_PUMF_YESNOFM",2,"2013-2014",2013,2014,"National",FALSE,TRUE,"PUMF",FALSE,FALSE,TRUE,TRUE,"CCHS201314_CCHS_PUMF; CCHS2014_CCHS_PUMF"
"ACCG32N","ACCG","Diff. - other - (G)","Num8","CCHS_PUMF_YESNOFM",2,"2013-2014",2013,2014,"National",FALSE,TRUE,"PUMF",FALSE,FALSE,TRUE,TRUE,"CCHS201314_CCHS_PUMF; CCHS2014_CCHS_PUMF"
"ACCG43B","ACCG","Diff. - contact physician-nurse / no pho","Num8","CCHS_PUMF_YESNOFM",2,"2013-2014",2013,2014,"National",FALSE,TRUE,"PUMF",FALSE,FALSE,TRUE,TRUE,"CCHS201314_CCHS_PUMF; CCHS2014_CCHS_PUMF"
"ACCG43I","ACCG","Diff. - other - (G)","Num8","CCHS_PUMF_YESNOFM",2,"2013-2014",2013,2014,"National",FALSE,TRUE,"PUMF",FALSE,FALSE,TRUE,TRUE,"CCHS201314_CCHS_PUMF; CCHS2014_CCHS_PUMF"
"ACCG45B","ACCG","Diff. - contact physician-nurse / no pho","Num8","CCHS_PUMF_YESNOFM",2,"2013-2014",2013,2014,"National",FALSE,TRUE,"PUMF",FALSE,FALSE,TRUE,TRUE,"CCHS201314_CCHS_PUMF; CCHS2014_CCHS_PUMF"
