"cchs_uid","year","cycle","temporal_type","doc_type","category","language","is_subsample","subsample","filename","canonical_filename","local_path","file_size"
"cchs-2001s-m-dd-en-pdf-01","2001","1.1","single","master","data-dictionary","EN",FALSE,"","English Data Dictionary (Freqs).pdf","cchs_2001s_dd_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/English Data Dictionary (Freqs).pdf",1403999
"cchs-2001s-m-dd-fr-pdf-01","2001","1.1","single","master","data-dictionary","FR",FALSE,"","French Data Dictionary (Freqs).pdf","cchs_2001s_dd_m_fr_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/French Data Dictionary (Freqs).pdf",1472771
"cchs-2003s-m-dd-en-pdf-01","2003","2.1","single","master","data-dictionary","EN",FALSE,"","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_1_v1.pdf","cchs-osf-docs/2003/2.1/Master/Docs/English Data Dictionary (Freqs).pdf",2365514
"cchs-2003s-m-dd-fr-pdf-01","2003","2.1","single","master","data-dictionary","FR",FALSE,"","French Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_fr_1_v1.pdf","cchs-osf-docs/2003/2.1/Master/Docs/French Data Dictionary (Freqs).pdf",2525454
"cchs-2003s-m-dd-en-pdf-02","2003","2.1","single","master","data-dictionary","EN",FALSE,"","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_1_v1.pdf","cchs-osf-docs/2003/2.1/Master/Docs/Group/English Data Dictionary (Freqs).pdf",166871
"cchs-2003s-m-dd-fr-pdf-02","2003","2.1","single","master","data-dictionary","FR",FALSE,"","French Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_fr_1_v1.pdf","cchs-osf-docs/2003/2.1/Master/Docs/Group/French Data Dictionary (Freqs).pdf",169713
"cchs-2003s-m-dd-en-pdf-03","2003","2.1","single","master","data-dictionary","EN",FALSE,"","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_1_v1.pdf","cchs-osf-docs/2003/2.1/Master/Docs/June 2004/English Data Dictionary (Freqs).pdf",2565758
"cchs-2003s-m-dd-fr-pdf-03","2003","2.1","single","master","data-dictionary","FR",FALSE,"","French Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_fr_1_v1.pdf","cchs-osf-docs/2003/2.1/Master/Docs/June 2004/French Data Dictionary (Freqs).pdf",2703915
"cchs-2003s-m-dd-en-pdf-04","2003","2.1","single","master","data-dictionary","EN",TRUE,"Sub-sample 1","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_1_v1.pdf","cchs-osf-docs/2003/2.1/Master/Docs/Sub-sample 1/English Data Dictionary (Freqs).pdf",1237708
"cchs-2003s-m-dd-fr-pdf-04","2003","2.1","single","master","data-dictionary","FR",TRUE,"Sub-sample 1","French Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_fr_1_v1.pdf","cchs-osf-docs/2003/2.1/Master/Docs/Sub-sample 1/French Data Dictionary (Freqs).pdf",1325990
