"cchs_uid","year","cycle","temporal_type","doc_type","category","language","is_subsample","subsample","filename","canonical_filename","local_path","file_size"
"cchs-2001s-m-qu-en-pdf-01","2001","1.1","single","master","questionnaire","EN",FALSE,"","CCHS 1.1 household questionnaire_e.pdf","cchs_2001s_qu_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/CCHS 1.1 household questionnaire_e.pdf",19472
"cchs-2001s-m-qu-fr-pdf-01","2001","1.1","single","master","questionnaire","FR",FALSE,"","CCHS 1.1 household questionnaire_f.pdf","cchs_2001s_qu_m_fr_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/CCHS 1.1 household questionnaire_f.pdf",21834
"cchs-2001s-m-dv-en-pdf-01","2001","1.1","single","master","derived-variables","EN",FALSE,"","CCHS_2000_01_Revised_DV_Doc_Income_variables.pdf","cchs_2001s_dv_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/CCHS_2000_01_Revised_DV_Doc_Income_variables.pdf",194588
"cchs-2001s-m-er-en-pdf-01","2001","1.1","single","master","errata","EN",FALSE,"","CCHS_2000-2014_Errata.pdf","cchs_2001s_er_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/CCHS_2000-2014_Errata.pdf",1261029
"cchs-2001s-m-iv-en-pdf-01","2001","1.1","single","master","income-variables","EN",FALSE,"","CCHS_New_income_variables.pdf","cchs_2001s_iv_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/CCHS_New_income_variables.pdf",41868
"cchs-2001s-m-xx-en-pdf-01","2001","1.1","single","master","other","EN",FALSE,"","cchs_questenglish.pdf","cchs_2001s_xx_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/cchs_questenglish.pdf",372116
"cchs-2001s-m-xx-en-pdf-02","2001","1.1","single","master","other","EN",FALSE,"","cchs_questfrancais.pdf","cchs_2001s_xx_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/cchs_questfrancais.pdf",377975
"cchs-2001s-m-dv-en-pdf-02","2001","1.1","single","master","derived-variables","EN",FALSE,"","DVDOC E_MASTER.pdf","cchs_2001s_dv_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/DVDOC E_MASTER.pdf",481257
"cchs-2001s-m-dv-en-pdf-03","2001","1.1","single","master","derived-variables","EN",FALSE,"","DVDOC F_MASTER.pdf","cchs_2001s_dv_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/DVDOC F_MASTER.pdf",524391
"cchs-2001s-m-dd-en-pdf-01","2001","1.1","single","master","data-dictionary","EN",FALSE,"","English Data Dictionary (Freqs).pdf","cchs_2001s_dd_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/English Data Dictionary (Freqs).pdf",1403999
"cchs-2001s-m-ai-en-pdf-01","2001","1.1","single","master","alpha-index","EN",FALSE,"","English DD Alpha Index.pdf","cchs_2001s_ai_m_en_1_v1.pdf","cchs-osf-docs/2001/1.1/Master/Docs/English DD Alpha Index.pdf",152008
