"variable_name","length","position","label","question_text","universe","note","n_categories"
"VERDATE","8.0","1","Date of file creation","","All respondents","Format = YYYYMMDD","0"
"REFPER","13.0","9","Reference period","","All respondents","Reference period during which data included in this file have been collected.","0"
"SAMPLEID","24.0","22","Record identifier","","All respondents","Unique number to identify dwelling (area frame).","0"
"INSTANCE","2.0","46","Person identifier of selected respondent - health interview","","All respondents","","0"
"COLMODE","1.0","48","Collection mode - 18+","","All respondents","","3"
"COL_LANG","1.0","49","Collection language","","All respondents","","2"
"GEO_PRV","2.0","50","Province of residence of respondent","","All respondents","","10"
"GEODVPC","6.0","52","Postal code - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable. Due to missing or incorrect reporting, the postal code variable is imputed from a donor. See derived variables documentation for more information. Note that while the postal code variable is available on the data files for analysis, no aggregate data should be disseminated at this level of geography.","0"
"GEODVD21","8.0","58","2021 Census dissemination area (DA)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVD16","8.0","66","2016 Census dissemination area (DA) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVCSD","7.0","74","2021 Census subdivision (CSD) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVFED","5.0","81","2021 Census federal electoral district (FED) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVCD","4.0","86","2021 Census division (CD) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVCMA","3.0","90","2021 Census metropolitan area (CMA) - (D)","","See documentation on derived variables.","","42"
"GEODVCA","3.0","93","2021 Census agglomeration (CA) - (D)","","See documentation on derived variables.","","0"
"GEODVSAT","3.0","96","Statistical area classification type (SAT) - (D)","","See documentation on derived variables.","","7"
"GEODVHR4","4.0","99","Health region 2023 - (D)","","See documentation on derived variables.","","100"
"GEODVP21","1.0","103","Peer group 2021 - (D)","","See documentation on derived variables.","","9"
"GEODVUR","2.0","104","Population centre or rural area type - (D)","","See documentation on derived variables.","","6"
"GEODVUR2","1.0","106","Population centre or rural area type - grouped - (D)","","See documentation on derived variables.","","2"
"GEODVPSZ","1.0","107","Population centre or rural area classification - (D)","","See documentation on derived variables.","","4"
"GEODVBHA","4.0","108","British Columbia Health Authority (BCHA) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVOHR","4.0","112","Ontario Health Region (OHR)","","See documentation on derived variables.","Replaces Home and Community Care Support Services (HCCSS)","7"
"GEODVASZ","6.0","116","Alberta subzone - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"SAM_CP","6.0","122","Sampled collection period","","All respondents","The collection periods are usually comprised of three months of collection. The values represent the year and the beginning month of each period based on the 2023 collection. However, to accommodate collection demands of other Statistics Canada surveys in the field at the time, CCHS interviewers were allocated to other projects and the second collection period was extended to July and overlaps the third period.","4"
"ADM_YOI","4.0","128","Year of interview","","All respondents","","1"
"ADM_MOI","2.0","132","Month of interview","","All respondents","","12"
"ADM_DOI","2.0","134","Day of interview","","All respondents","","1"
"SAMDVLNK","1.0","136","Permission to link data - (D)","","All respondents","See documentation on derived variables.","2"
"SAMDVSHR","1.0","137","Permission to share data - (D)","","All respondents","See documentation on derived variables.","2"
"DHHDVHSZ","2.0","138","Household size - (D)","","See documentation on derived variables.","","1"
"DHHDVLVG","2.0","140","Living / family arrangement of selected respondent - (D)","","See documentation on derived variables.","","11"
"DHHDV611","2.0","142","Number of persons in household between 6 and 11 years of age - (D)","","See documentation on derived variables.","","1"
"DHHDVOKD","2.0","144","Number of persons in household 16 or 17 years of age - (D)","","See documentation on derived variables.","","1"
"DHHDVL12","2.0","146","Number of persons in household less than 12 years of age - (D)","","See documentation on derived variables.","","1"
"DHHDVYKD","2.0","148","Number of persons in household less than 16 years of age - (D)","","See documentation on derived variables.","","1"
"DHHDVLE5","2.0","150","Number of persons in household 5 years old or less - (D)","","See documentation on derived variables.","","1"
"DHHDVA65","2.0","152","Number of persons in household aged 65 and older - (D)","","See documentation on derived variables.","","2"
"DHHDVAOS","3.0","154","Age of spouse - (D)","","See documentation on derived variables.","","2"
"DHHDVL18","2.0","157","Number of persons in household less than 18 years of age - (D)","","See documentation on derived variables.","","1"
"PROXYSEX","1.0","159","Respondent gender and whether interview conducted by proxy","","All respondents","","4"
"DWL_01A","1.0","160","Dwelling ownership - own or rent","Is this dwelling owned by a member of this household?","All respondents","","3"
"ED_05","2.0","161","Highest certificate, diploma or degree completed","What is this person’s highest certificate, diploma or degree completed? [First name] [Last name], [Age]","All respondents","","8"
"EDDVR3","1.0","163","Highest level of education - respondent, 3 levels - (D)","","See documentation on derived variables.","","4"
"EDDVH3","1.0","164","Highest level of education - household, 3 levels - (D)","","See documentation on derived variables.","","4"
"AGE_01A","4.0","165","Year of birth","What is [your / respondent name] date of birth? Year","All respondents","","0"
"AGE_01B","2.0","169","Month of birth","What is [your / respondent name] date of birth? Month","All respondents","","0"
"AGE_01C","2.0","171","Day of birth","What is [your / respondent name] date of birth? Day","All respondents","","0"
"AWCAGE","3.0","173","Age","","All respondents","","1"
"DHH_SEX","1.0","176","Sex at birth","","All respondents","","2"
"GDRA_10","1.0","177","Gender","What is your gender?","All respondents","The ’Gender diverse’ category includes persons reporting a gender other than male or female, persons reporting being unsure of their gender, persons reporting being both male and female, or neither male nor female. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"GENDER_2","1.0","178","Gender - imputed","","All respondents","Men+ includes men (and/or boys), as well as some non-binary persons. Women+ includes women (and/or girls), as well as some non-binary persons.","2"
"DOMAC","1.0","179","Main activity - Inclusion Flag - (F)","","All respondents","","1"
"MA_01","1.0","180","Worked at job / business - 12 mo","In the past 12 months, did you work at a job or business?","Respondents aged 18 to 75 with DOMAC = 1","","4"
"MA_01A","1.0","181","Main activity - worked at job / business - 12 mo","In the past 12 months, was working at a job or business your main activity?","Respondents who answered MA_01 = 1","","4"
"MA_02","2.0","182","Main activity - 12 mo","During the past 12 months, what was your main activity?","Respondents aged 18 to 75 who answered MA_01 = (2, NR) or MA_01A = (2, NR)","For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","11"
"DOEDC","1.0","184","School attendance - Inclusion Flag - (F)","","All respondents","","1"
"EDC_10","1.0","185","Currently attending school / college / CEGEP / university","Are you currently attending a school, college, CEGEP or university?","Respondents with DOEDC = 1","","3"
"EDC_20","1.0","186","Student status","Are you enrolled as a full-time or part-time student? Each educational institution classifies students as full-time or part-time depending on the type of program, and the number of courses, credits or hours of instruction.","Respondents who answered EDC_10 = 1","","4"
"DOGEN","1.0","187","General health - Inclusion Flag - (F)","","All respondents","","1"
"GEN_01","1.0","188","Perceived health","In general, how is your health?","Respondents with DOGEN = 1","","6"
"GEN_05","1.0","189","Perceived mental health","In general, how is your mental health?","Respondents with DOGEN = 1 and PROXYSEX = (1, 2)","","6"
"GEN_10","1.0","190","Perceived life stress","Thinking about the amount of stress in your life, how would you describe most of your days?","Respondents with DOGEN = 1","","6"
"GEN_15","1.0","191","Perceived stress at work","How would you describe most days at work?","Respondents with DOGEN = 1 and DV_WORK12 = 1 and PROXYSEX = (1, 2)","DV_WORK12 indicates if the respondent (aged 18 to 75) worked at a job or business in the past 12 months (MA_01 = 1 or MA_01A = 1).","7"
"GEN_20","1.0","192","Sense of belonging to local community","How would you describe your sense of belonging to your local community?","Respondents with DOGEN = 1","","5"
"DOLSM","1.0","193","Life satisfaction measures - Inclusion Flag - (F)","","All respondents","","1"
"LSM_01","2.0","194","Satisfaction with life in general","Using a scale of 0 to 10, where 0 means ""Very dissatisfied"" and 10 means ""Very satisfied"", how do you feel about your life as a whole right now?","Respondents with DOLSM = 1 and PROXYSEX = (1, 2)","","12"
"LSMDVSWL","1.0","196","Satisfaction with life in general (D)","","See documentation on derived variables.","","6"
"DOPRS","1.0","197","Pregnancy - Inclusion Flag - (F)","","All respondents","","1"
"PRS_05","1.0","198","Currently pregnant","Are you pregnant?","Respondents aged 18 to 55 with DHH_SEX = 2 and DOPRS = 1","","4"
"DOHWT","1.0","199","Height and weight - Inclusion Flag - (F)","","All respondents","","1"
"HWT_05A","2.0","200","Height (self-reported) - Feet","How tall are you without shoes on? Feet","Respondents with DOHWT = 1 and PRS_05 <> 1","","3"
"HWT_05B","2.0","202","Height (self-reported) - Inches","How tall are you without shoes on? Inches","Respondents with DOHWT = 1 and PRS_05 <> 1","","3"
