"variable_name","label_short","label_long","label_statcan","type","value_format","question_text","universe","section","subject","subsection","cchsflow_name","n_datasets","n_cycles","n_primary_sources","n_secondary_sources","version","status","last_updated","notes"
"ABM_01A","","","No indigenous identity","Num1","YESN01F","Are you First Nations, Métis or Inuk (Inuit)? - No, not First Nations, Métis or Inuk (Inuit)","Respondents with DOABM = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ABM_01B","","","Indigenous identity - First Nations","Num1","YESN01F","Are you First Nations, Métis or Inuk (Inuit)? - Yes, First Nations (North American Indian)","Respondents with DOABM = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ABM_01C","","","Indigenous identity - Métis","Num1","YESN01F","Are you First Nations, Métis or Inuk (Inuit)? - Yes, Métis","Respondents with DOABM = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ABM_01D","","","Indigenous identity - Inuk (Inuit)","Num1","YESN01F","Are you First Nations, Métis or Inuk (Inuit)? - Yes, Inuk (Inuit)","Respondents with DOABM = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_005","","","Required visit to medical specialist - 12 mo","Num1","YESN01F","In the past 12 months, did you require a visit to a medical specialist for a diagnosis or a consultation?","Respondents aged 15 and over with DOACC = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_010","","","Experienced difficulties getting specialist care - 12 mo","Num1","YESN01F","In the past 12 months, did you ever experience any difficulties getting the specialist care you needed for a diagnosis or consultation?","Respondents who answered ACC_005 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015A","","","Difficulty specialist - getting a referral","Num1","YESN01F","What types of difficulties did you experience? - Difficulty getting a referral","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015B","","","Difficulty specialist - getting an appt","Num1","YESN01F","What types of difficulties did you experience? - Difficulty getting an appointment","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015C","","","Difficulty specialist - too long between appt and visit","Num1","YESN01F","What types of difficulties did you experience? - Waited too long between booking appointment and visit","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015D","","","Difficulty specialist - too long to see specialist","Num1","YESN01F","What types of difficulties did you experience? - Waited too long to see the specialist (i.e. in-office waiting)","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015E","","","Difficulty specialist - service n/a at time required","Num1","YESN01F","What types of difficulties did you experience? - Service not available at time required","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015F","","","Difficulty specialist - service n/a in area","Num1","YESN01F","What types of difficulties did you experience? - Service not available in the area","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015G","","","Difficulty specialist - transportation","Num1","YESN01F","What types of difficulties did you experience? - Transportation problems","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015H","","","Difficulty specialist - language","Num1","YESN01F","What types of difficulties did you experience? - Language problem","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015I","","","Difficulty specialist - cost","Num1","YESN01F","What types of difficulties did you experience? - Cost","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015J","","","Difficulty specialist - general deterioration of health","Num1","YESN01F","What types of difficulties did you experience? - General deterioration of health","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015K","","","Difficulty specialist - appt cancelled / deferred","Num1","YESN01F","What types of difficulties did you experience? - Appointment cancelled or deferred by specialist","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015L","","","Difficulty specialist - unable to leave house","Num1","YESN01F","What types of difficulties did you experience? - Unable to leave the house because of a health problem","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_015M","","","Difficulty specialist - other","Num1","YESN01F","What types of difficulties did you experience? - Other","Respondents who answered ACC_010 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_020","","","Required non-emergency surgery - 12 mo","Num1","YESN01F","In the past 12 months, did you require any non-emergency surgery?","Respondents aged 15 and over with DOACC = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_025","","","Experienced difficulties getting non-emergency surgery - 12 mo","Num1","YESN01F","In the past 12 months, did you ever experience any difficulties getting the surgery you needed?","Respondents who answered ACC_020 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030A","","","Difficulty surgery - getting an appt","Num1","YESN01F","What types of difficulties did you experience? - Difficulty getting an appointment","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030B","","","Difficulty surgery - getting a diagnosis","Num1","YESN01F","What types of difficulties did you experience? - Difficulty getting a diagnosis including obtaining a diagnostic test","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030C","","","Difficulty surgery - too long for a hospital bed","Num1","YESN01F","What types of difficulties did you experience? - Waited too long for a hospital bed to become available","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030D","","","Difficulty surgery - too long for surgery","Num1","YESN01F","What types of difficulties did you experience? - Waited too long for surgery","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030E","","","Difficulty surgery - service n/a at time required","Num1","YESN01F","What types of difficulties did you experience? - Service not available at time required","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030F","","","Difficulty surgery - service n/a in the area","Num1","YESN01F","What types of difficulties did you experience? - Service not available in the area","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030G","","","Difficulty surgery - transportation","Num1","YESN01F","What types of difficulties did you experience? - Transportation problems","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030H","","","Difficulty surgery - language","Num1","YESN01F","What types of difficulties did you experience? - Language problem","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030I","","","Difficulty surgery - cost","Num1","YESN01F","What types of difficulties did you experience? - Cost","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030J","","","Difficulty surgery - general deterioration of health","Num1","YESN01F","What types of difficulties did you experience? - General deterioration of health","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030K","","","Difficulty surgery - appt cancelled / deferred","Num1","YESN01F","What types of difficulties did you experience? - Appointment cancelled or deferred by surgeon or hospital","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030L","","","Difficulty surgery - unable to leave the house","Num1","YESN01F","What types of difficulties did you experience? - Unable to leave the house because of a health problem","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_030M","","","Difficulty surgery - other","Num1","YESN01F","What types of difficulties did you experience? - Other","Respondents who answered ACC_025 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_035","","","Required non-emergency test (MRI, CT Scan, angiography) - 12 mo","Num1","YESN01F","In the past 12 months, did you require one of these tests?","Respondents aged 15 and over with DOACC = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_040","","","Experienced difficulties getting non-emergency test - 12 mo","Num1","YESN01F","In the past 12 months, did you ever experience any difficulties getting the tests you needed?","Respondents who answered ACC_035 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045A","","","Difficulty test - getting a referral","Num1","YESN01F","What types of difficulties did you experience? - Difficulty getting a referral","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045B","","","Difficulty test - getting an appt","Num1","YESN01F","What types of difficulties did you experience? - Difficulty getting an appointment","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045C","","","Difficulty test - too long to get an appt","Num1","YESN01F","What types of difficulties did you experience? - Waited too long to get an appointment","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045D","","","Difficulty test - too long to get test","Num1","YESN01F","What types of difficulties did you experience? - Waited too long to get test (i.e. in-office waiting)","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045E","","","Difficulty test - service n/a at time required","Num1","YESN01F","What types of difficulties did you experience? - Service not available at time required","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045F","","","Difficulty test - service n/a in area","Num1","YESN01F","What types of difficulties did you experience? - Service not available in the area","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045G","","","Difficulty test - transportation","Num1","YESN01F","What types of difficulties did you experience? - Transportation problems","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045H","","","Difficulty test - language","Num1","YESN01F","What types of difficulties did you experience? - Language problem","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045I","","","Difficulty test - cost","Num1","YESN01F","What types of difficulties did you experience? - Cost","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045J","","","Difficulty test - general deterioration of health","Num1","YESN01F","What types of difficulties did you experience? - General deterioration of health","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045K","","","Difficulty test - didn't know where to go","Num1","YESN01F","What types of difficulties did you experience? - Did not know where to go (i.e. information problems)","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045L","","","Difficulty test - unable to leave house","Num1","YESN01F","What types of difficulties did you experience? - Unable to leave the house because of a health problem","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_045M","","","Difficulty test - other","Num1","YESN01F","What types of difficulties did you experience? - Other","Respondents who answered ACC_040 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_050","","","Required health information for self / family - 12 mo","Num1","YESN01F","In the past 12 months, have you required health information or advice [for yourself or a family member]?","Respondents aged 15 and over with DOACC = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_055A","","","Health information - contact - doctor's office","Num1","YESN01F","Whom did you contact when you needed health information or advice [for yourself or a family member]? - A doctor's office","Respondents who answered ACC_050 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_055B","","","Health information - contact - community health centre / CLSC","Num1","YESN01F","Whom did you contact when you needed health information or advice [for yourself or a family member]? - A community health centre [or CLSC]","Respondents who answered ACC_050 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_055C","","","Health information - contact - walk-in clinic","Num1","YESN01F","Whom did you contact when you needed health information or advice [for yourself or a family member]? - A walk-in clinic","Respondents who answered ACC_050 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
"ACC_055D","","","Health information - contact - telephone health line","Num1","YESN01F","Whom did you contact when you needed health information or advice [for yourself or a family member]? - A telephone health line (for example, HealthLinks, Telehealth Ontario, Health-Line, TeleCare, Info-Santé)","Respondents who answered ACC_050 = 1","","",,"",,,0,0,"1","temp","2026-02-17","master_sas_label"
