Library: CCHS Member: 01. CCHS 2000-2001 Canadian Community Health Survey
Back Search    Search
Variable Name	Description	Type
ADMA_IMP	Imputation flag	Num8
ADMA_PRX	C2 completed by proxy	Num8
ADMA_RNO	Sequential record number	Num8
ALCA_1	Drank alcohol in past 12 months	Num8
ALCA_2	Frequency of drinking alcohol	Num8
ALCA_3	Frequency of having 5 or more drinks	Num8
ALCA_5	Drank alcohol in past week	Num8
ALCA_5A1	Number of drinks - Sunday	Num8
ALCA_5A2	Number of drinks - Monday	Num8
ALCA_5A3	Number of drinks - Tuesday	Num8
ALCA_5A4	Number of drinks - Wednesday	Num8
ALCA_5A5	Number of drinks - Thursday	Num8
ALCA_5A6	Number of drinks - Friday	Num8
ALCA_5A7	Number of drinks - Saturday	Num8
ALCA_5B	Ever had a drink	Num8
ALCA_6	Regularly drank > 12 drinks a week	Num8
ALCA_7A	Reason red. drinking - dieting	Num8
ALCA_7B	Reason red. drinking - athletic training	Num8
ALCA_7C	Reason red. drinking - pregnancy	Num8
ALCA_7D	Reason red. drinking - getting older	Num8
ALCA_7E	Reason red. drinking - drink too much	Num8
ALCA_7F	Reason red. drinking - aff. work/studies	Num8
ALCA_7G	Reason red. drink. - interfer/fam. life	Num8
ALCA_7H	Reason red. drink. - affect phys. health	Num8
ALCA_7I	Reason red. drink. - affect social rel.	Num8
ALCA_7J	Reason red. drink. - affect financ. pos.	Num8
ALCA_7K	Reason red. drinking - aff. happiness	Num8
ALCA_7L	Reason red. drinking - fam./friends inf.	Num8
ALCA_7M	Reason red. drinking - other	Num8
ALCADDLY	Average daily alcohol consumption - (D)	Num8
ALCADTYP	Type of drinker - (D)	Num8
ALCADWKY	Number of drinks - past week (D)	Num8
ALDADPP	Alc. dependence - predicted prob. - (D)	Num8
ALDADSF	Alc. dependence - short form score - (D)	Num8
BPCA_010	Ever had blood pressure taken	Num8
BPCA_012	Last time blood pressure was taken	Num8
BPCA_16A	B.p. not taken - not gotten around to it	Num8
BPCA_16B	B.p. not taken - not necessary/resp.	Num8
BPCA_16C	B.p. not taken - not necessary/doctor	Num8
BPCA_16D	B.p. not taken - personal/family resp.	Num8
BPCA_16E	B.p. not taken - not available/required	Num8
BPCA_16F	B.p. not taken - not available in area	Num8
BPCA_16G	B.p. not taken - waiting time too long	Num8
BPCA_16H	B.p. not taken - transportation problems	Num8
BPCA_16I	B.p. not taken - language problem	Num8
BPCA_16J	B.p. not taken - cost	Num8
BPCA_16K	B.p. not taken - didn't know where to go	Num8
BPCA_16L	B.p. not taken - fear	Num8
BPCA_16M	B.p. not taken - other reason	Num8
BRFA_01	Has given birth in the past 5 years	Num8
BRFA_01B	Took folic acid - before last pregnancy	Num8
BRFA_02	Breastfed / tried to b.feed - last child	Num8
BRFA_03	Still breastfeeding last child	Num8
BRFA_04	Duration of breastfeeding last child	Num8
BRFA_05	Main reason stopped breastfeeding	Num8
BRFA_10	Smoked - last pregnancy	Num8
BRFA_11	# cigarettes daily - last pregnancy	Num8
BRFA_12	Smoked - while breastfeeding last baby	Num8
BRFA_13	# cigarettes daily - while breastfeeding	Num8
BRFA_14	Second-hand smoke - last pregnancy	Num8
BRFA_20	Drank alcohol - ast pregnancy	Num8
BRFA_21	Frequency of drinking - last pregnancy	Num8
BRFA_22	Consumed alcohol while breastfeeding	Num8
BRFA_23	Frequency of drinking - breastfeeding	Num8
BRXA_110	Had breasts examined by health prof.	Num8
BRXA_112	Last time breasts examined for lumps	Num8
BRXA_16A	No breast ex. - havn't gotten around/it	Num8
BRXA_16B	No breast ex. - resp. didn't think nec.	Num8
BRXA_16C	No breast ex. - dr. didn't think necess.	Num8
BRXA_16D	No breast ex. - pers./family resp.	Num8
BRXA_16E	No breast ex. - not av. when required	Num8
BRXA_16F	No breast ex. - not available in area	Num8
BRXA_16G	No breast ex. - waiting time too long	Num8
BRXA_16H	No breast ex. - transportation problems	Num8
BRXA_16I	No breast ex. - language problem	Num8
BRXA_16J	No breast ex. - cost	Num8
BRXA_16K	No breast ex. - did not know where to go	Num8
BRXA_16L	No breast ex. - fear	Num8
BRXA_16M	No breast ex. - other reason	Num8
BSXA_120	Self-examined breasts for lumps	Num8
BSXA_121	Freq./breast self-examination	Num8
BSXA_22A	Breast self-ex. learned from - doctor	Num8
BSXA_22B	Breast self-ex. learned from - nurse	Num8
BSXA_22C	Breast self-ex. learned from - book, etc	Num8
BSXA_22D	Breast self-ex. learned from - TV, etc	Num8
BSXA_22E	Breast self-ex. learned from - mother	Num8
BSXA_22F	Breast self-ex. learned from - sister	Num8
BSXA_22G	Breast self-ex. learned from - other	Num8
CCCA_011	Has food allergies	Num8
CCCA_021	Has allergies other than food allergies	Num8
CCCA_031	Has asthma	Num8
CCCA_035	Asthma - had symptoms/attacks	Num8
CCCA_036	Asthma - took medication	Num8
CCCA_041	Has fibromyalgia	Num8
CCCA_051	Has arthritis/rheumatism	Num8
CCCA_05A	Arthr./rheum. - kind	Num8
CCCA_061	Has back problems excl. fibrom. & arthr.	Num8
CCCA_071	Has high blood pressure	Num8
CCCA_081	Has migraine headaches	Num8
CCCA_101	Has diabetes	Num8
